ACCOUNT:276966 BALANCE:2195.13
ACCOUNT:430741 BALANCE:9303.42
ACCOUNT:168560 BALANCE:5016.99
ACCOUNT:193862 BALANCE:9679.96
ACCOUNT:592732 BALANCE:5904.09
ACCOUNT:230612 BALANCE:4563.97
ACCOUNT:837633 BALANCE:4474.25
ACCOUNT:680002 BALANCE:8404.88
ACCOUNT:830407 BALANCE:9171.23
ACCOUNT:811397 BALANCE:2442.33
ACCOUNT:382547 BALANCE:7190.75
ACCOUNT:658191 BALANCE:6697.13
ACCOUNT:487083 BALANCE:5655.91
ACCOUNT:809392 BALANCE:4337.38
ACCOUNT:911035 BALANCE:7029.34
ACCOUNT:132749 BALANCE:7257.92
ACCOUNT:797275 BALANCE:8338.95
ACCOUNT:235655 BALANCE:7901.09
ACCOUNT:632132 BALANCE:2305.59
ACCOUNT:334547 BALANCE:7268.04
ACCOUNT:599472 BALANCE:7099.06
ACCOUNT:493674 BALANCE:9822.34
ACCOUNT:643409 BALANCE:8352.40
ACCOUNT:512813 BALANCE:2069.34
ACCOUNT:532954 BALANCE:1286.72
ACCOUNT:890822 BALANCE:2043.22
ACCOUNT:764697 BALANCE:609.41
ACCOUNT:375655 BALANCE:166.31
ACCOUNT:498711 BALANCE:2472.68
ACCOUNT:802446 BALANCE:7049.19
ACCOUNT:389471 BALANCE:5928.38
ACCOUNT:397003 BALANCE:7949.22
ACCOUNT:930327 BALANCE:8939.62
ACCOUNT:799769 BALANCE:7258.16
ACCOUNT:787781 BALANCE:5563.77
ACCOUNT:395741 BALANCE:4761.70
ACCOUNT:175206 BALANCE:4791.37
ACCOUNT:107475 BALANCE:2025.43
ACCOUNT:237714 BALANCE:901.40
ACCOUNT:836389 BALANCE:7794.80
ACCOUNT:114441 BALANCE:4321.51
ACCOUNT:967841 BALANCE:7907.55
ACCOUNT:753246 BALANCE:2206.98
ACCOUNT:525040 BALANCE:4976.14
ACCOUNT:262096 BALANCE:4097.92
ACCOUNT:656841 BALANCE:299.05
ACCOUNT:306323 BALANCE:446.76
ACCOUNT:470963 BALANCE:4540.57
ACCOUNT:735509 BALANCE:1645.92
ACCOUNT:849086 BALANCE:9003.69
ACCOUNT:541895 BALANCE:970.16
ACCOUNT:697550 BALANCE:3548.39
ACCOUNT:866821 BALANCE:2552.44
ACCOUNT:451914 BALANCE:7089.88
ACCOUNT:368145 BALANCE:3865.85
ACCOUNT:269941 BALANCE:452.04
ACCOUNT:624828 BALANCE:9118.27
ACCOUNT:531354 BALANCE:1432.51
ACCOUNT:640245 BALANCE:2575.83
ACCOUNT:842615 BALANCE:4850.54
ACCOUNT:388298 BALANCE:8040.00
ACCOUNT:716729 BALANCE:2874.68
ACCOUNT:658457 BALANCE:3287.19
ACCOUNT:807415 BALANCE:8335.51
ACCOUNT:890546 BALANCE:3666.44
ACCOUNT:476923 BALANCE:6931.72
ACCOUNT:953188 BALANCE:3984.59
ACCOUNT:459599 BALANCE:6750.18
ACCOUNT:407668 BALANCE:3476.88
ACCOUNT:223006 BALANCE:1511.41
ACCOUNT:790200 BALANCE:5644.67
ACCOUNT:886672 BALANCE:9831.65
ACCOUNT:239613 BALANCE:9118.47
ACCOUNT:643261 BALANCE:492.62
ACCOUNT:253634 BALANCE:615.13
ACCOUNT:470704 BALANCE:2699.56
ACCOUNT:488866 BALANCE:6261.95
ACCOUNT:413425 BALANCE:1661.35
ACCOUNT:601954 BALANCE:8968.37
ACCOUNT:655944 BALANCE:4830.81
ACCOUNT:847982 BALANCE:4940.43
ACCOUNT:661981 BALANCE:8085.91
ACCOUNT:990897 BALANCE:392.92
ACCOUNT:136720 BALANCE:6454.70
ACCOUNT:574180 BALANCE:8757.30
ACCOUNT:794670 BALANCE:6635.42
ACCOUNT:407612 BALANCE:2748.40
ACCOUNT:943092 BALANCE:1597.47
ACCOUNT:149659 BALANCE:251.43
ACCOUNT:338316 BALANCE:3873.31
ACCOUNT:522609 BALANCE:3122.27
ACCOUNT:273036 BALANCE:9693.98
ACCOUNT:602166 BALANCE:6006.34
ACCOUNT:869437 BALANCE:1594.65
ACCOUNT:139639 BALANCE:4576.04
ACCOUNT:186200 BALANCE:2978.59
ACCOUNT:272064 BALANCE:2830.98
ACCOUNT:359254 BALANCE:2655.07
ACCOUNT:230772 BALANCE:3345.54
ACCOUNT:137759 BALANCE:1509.29
ACCOUNT:928286 BALANCE:5923.62
ACCOUNT:963818 BALANCE:842.52
ACCOUNT:546565 BALANCE:9101.47
ACCOUNT:663976 BALANCE:600.22
ACCOUNT:757215 BALANCE:7380.51
ACCOUNT:634268 BALANCE:4334.25
ACCOUNT:421968 BALANCE:6446.82
ACCOUNT:510861 BALANCE:1574.16
ACCOUNT:402041 BALANCE:2165.72
ACCOUNT:484718 BALANCE:6953.46
ACCOUNT:925333 BALANCE:4834.12
ACCOUNT:937752 BALANCE:3577.72
ACCOUNT:972373 BALANCE:542.54
ACCOUNT:312000 BALANCE:1704.34
ACCOUNT:466675 BALANCE:5286.97
ACCOUNT:443521 BALANCE:8441.19
ACCOUNT:552311 BALANCE:1063.56
ACCOUNT:132600 BALANCE:4377.12
ACCOUNT:471843 BALANCE:5035.26
ACCOUNT:115496 BALANCE:5648.52
ACCOUNT:846387 BALANCE:3419.91
ACCOUNT:147603 BALANCE:7553.61
ACCOUNT:907364 BALANCE:6445.74
ACCOUNT:642863 BALANCE:8605.25
ACCOUNT:151056 BALANCE:5408.19
ACCOUNT:103642 BALANCE:625.33
ACCOUNT:241130 BALANCE:5781.27
ACCOUNT:167923 BALANCE:7833.11
ACCOUNT:640039 BALANCE:9002.84
ACCOUNT:859544 BALANCE:3950.37
ACCOUNT:676959 BALANCE:1087.35
ACCOUNT:922278 BALANCE:8068.83
ACCOUNT:784725 BALANCE:8458.16
ACCOUNT:940176 BALANCE:7065.67
ACCOUNT:871038 BALANCE:1495.40
ACCOUNT:784553 BALANCE:7997.07
ACCOUNT:538422 BALANCE:4268.49
ACCOUNT:292883 BALANCE:3477.41
ACCOUNT:209459 BALANCE:8691.41
ACCOUNT:164656 BALANCE:1481.39
ACCOUNT:684454 BALANCE:4544.27
ACCOUNT:643123 BALANCE:5265.47
ACCOUNT:766665 BALANCE:1085.74
ACCOUNT:483459 BALANCE:4684.25
ACCOUNT:295026 BALANCE:1209.56
ACCOUNT:522698 BALANCE:2087.15
ACCOUNT:687280 BALANCE:9859.51
ACCOUNT:403995 BALANCE:9687.36
ACCOUNT:598999 BALANCE:423.04
ACCOUNT:445486 BALANCE:3865.67
ACCOUNT:867918 BALANCE:3836.36
ACCOUNT:834404 BALANCE:5595.29
ACCOUNT:821436 BALANCE:8004.24
ACCOUNT:353934 BALANCE:6442.60
ACCOUNT:146818 BALANCE:2559.47
ACCOUNT:384755 BALANCE:9289.00
ACCOUNT:389183 BALANCE:9138.56
ACCOUNT:816109 BALANCE:3765.58
ACCOUNT:396805 BALANCE:2714.07
ACCOUNT:756391 BALANCE:1961.73
ACCOUNT:960851 BALANCE:9504.34
ACCOUNT:758292 BALANCE:356.50
ACCOUNT:973552 BALANCE:5779.80
ACCOUNT:340532 BALANCE:583.53
ACCOUNT:801869 BALANCE:5700.56
ACCOUNT:995677 BALANCE:3497.71
ACCOUNT:169565 BALANCE:2602.84
ACCOUNT:464411 BALANCE:7838.06
ACCOUNT:774001 BALANCE:5398.98
ACCOUNT:529466 BALANCE:2720.35
ACCOUNT:991507 BALANCE:7004.29
ACCOUNT:331777 BALANCE:3347.29
ACCOUNT:588038 BALANCE:5237.74
ACCOUNT:399874 BALANCE:1612.80
ACCOUNT:977657 BALANCE:9322.12
ACCOUNT:958385 BALANCE:5169.86
ACCOUNT:847781 BALANCE:2634.77
ACCOUNT:157415 BALANCE:2201.42
ACCOUNT:398719 BALANCE:8691.53
ACCOUNT:802509 BALANCE:8317.31
ACCOUNT:814927 BALANCE:4279.69
ACCOUNT:705774 BALANCE:7745.97
ACCOUNT:710887 BALANCE:8016.07
ACCOUNT:252143 BALANCE:6447.87
ACCOUNT:354339 BALANCE:268.00
ACCOUNT:822601 BALANCE:3991.67
ACCOUNT:796934 BALANCE:5881.03
ACCOUNT:730282 BALANCE:5647.95
ACCOUNT:488205 BALANCE:6812.15
ACCOUNT:522614 BALANCE:4739.38
ACCOUNT:610953 BALANCE:1401.15
ACCOUNT:593113 BALANCE:8064.95
ACCOUNT:489760 BALANCE:1372.08
ACCOUNT:612910 BALANCE:2656.36
ACCOUNT:461018 BALANCE:4525.52
ACCOUNT:238452 BALANCE:8810.42
ACCOUNT:169310 BALANCE:5514.29
ACCOUNT:507584 BALANCE:5120.66
ACCOUNT:864247 BALANCE:7212.53
ACCOUNT:457278 BALANCE:9349.04
ACCOUNT:301273 BALANCE:8510.53
ACCOUNT:931021 BALANCE:9384.66
ACCOUNT:753231 BALANCE:5850.17
ACCOUNT:264518 BALANCE:8139.16
ACCOUNT:110648 BALANCE:4607.76
ACCOUNT:705879 BALANCE:6816.62
ACCOUNT:828050 BALANCE:3359.59
ACCOUNT:179362 BALANCE:7118.91
ACCOUNT:363989 BALANCE:2466.72
ACCOUNT:734012 BALANCE:3070.60
ACCOUNT:116220 BALANCE:7204.04
